2018-05-13 09:47:56.822  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-2] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee3fe: Username: daka1; Password: [PROTECTED]; Role: customer; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: customer
2018-05-13 09:51:01.033  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-3] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee3fe: Username: daka1; Password: [PROTECTED]; Role: customer; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: customer
2018-05-13 10:53:02.984  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-8] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@c1af0a14: Username: nikola; Password: [PROTECTED]; Role: customer; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Not granted any authorities
2018-05-13 10:53:52.034  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-9] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@c1af0a14: Username: nikola; Password: [PROTECTED]; Role: customer; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Not granted any authorities
2018-05-13 11:19:31.132  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-6] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
2018-05-13 11:20:01.713  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-5] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee3ff: Username: daka2; Password: [PROTECTED]; Role: seller; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: seller
2018-05-13 11:28:14.972  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-1] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
2018-05-13 14:26:25.099  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-8] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee3fe: Username: daka1; Password: [PROTECTED]; Role: customer; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: customer
2018-05-13 14:27:28.537  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-4] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
2018-05-13 15:01:24.215  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-4] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee3ff: Username: daka2; Password: [PROTECTED]; Role: seller; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: seller
2018-05-13 15:02:05.897  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-7] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
2018-05-13 15:21:21.907  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-8] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
2018-05-13 15:27:30.671  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-4] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5b4db203: Username: dakabree; Password: [PROTECTED]; Role: seller; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Not granted any authorities
2018-05-13 15:28:31.095  INFO daka-To-be-filled-by-O-E-M --- [nio-8443-exec-1] u.a.r.c.UserController                   : LOGIN DETAILS: uns.ac.rs.model.CustomUserDetails@5aee400: Username: daka3; Password: [PROTECTED]; Role: manager; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: manager
